grade_band,weekday_affinity,semantic_group,proposed_question_family,question_text,gate_type,yes_follow_up_intents,no_branch_direction,recommended_cooldown_days,time_of_day,rapport_weight,existing_similar_question_ids,duplicate_risk,why_needed,status
초3~4,sat,PEER_CONNECTION,FRIEND_PLAY,오늘 친구 만나서 밖에서 뛰어놀거나 친구 집에 놀러 갔다 왔어?,GATE,어떤친구와만났는지;어디서무슨놀이했는지;즐거웠던순간,가족과의나들이확인;집에서혼자즐긴놀이질문,2,afternoon,2,098f6377-7be1-58a9-ef08-e71d44be44f9,LOW,토요일 낮 또래 친구들과의 오프라인 놀이 및 상호작용 확인 질문,NEW_QUESTION
초3~4,sat,LEARNING_AND_STUDY,ACADEMY_TODAY,"오늘 태권도나 수영, 미술처럼 주말 학원이나 운동 다녀왔어?",GATE,어떤운동/학원인지;새로배운동작이나기술;힘들었지만뿌듯한점,집에서의여유로운휴식확인;자유놀이이야기,3,afternoon,2,18790aeb-d904-57df-f6eb-e828be15fe30,LOW,초3~4 주말 예체능/운동 학원 루틴 및 신체활동 확인 질문,NEW_QUESTION
초3~4,sat,DAILY_LIFE,OUTING_TODAY,오늘 가족들이랑 마트나 공원처럼 어디 놀러 나갔다 왔어?,GATE,어디로외출했는지;가장신기하거나재미있었던것;구경한물건/풍경,집에서보낸편안한시간확인;실내취미활동이야기,2,evening,2,,LOW,토요일 가족 동반 외출·나들이 생활맥락을 탐색하는 Gate 질문,NEW_QUESTION
초3~4,sat,PHYSICAL_STATE,MOOD_TODAY,오늘 아침에 알람 없이 푹 늦잠 자거나 이불 속에서 여유롭게 뒹굴거렸어?,GATE,푹쉬고일어난개운한느낌공감;몇시까지여유부렸는지;주말아침기분,아침일찍시작한재미있는활동확인;오늘오전일정이야기,3,morning,2,,LOW,토요일 아침 특유의 여유와 신체 피로 회복을 공감하는 질문,NEW_QUESTION
초3~4,sat,MEAL_AND_TASTE,FOOD_TODAY,"오늘 점심이나 저녁으로 치킨, 피자나 외식처럼 특별히 맛있는 거 먹었어?",GATE,어떤특별한메뉴인지;누구와함께먹었는지;맛표현공감,맛있었던집밥메뉴확인;좋아하는주말간식질문,2,evening,2,a1bd7f3a-ea7d-4b01-a34b-121c22c9eff2,LOW,토요일 가족 배달음식 및 외식 경험을 공유하는 식사 라포 질문,NEW_QUESTION
초3~4,sat,HOBBY_AND_CREATION,RAPPORT_INTEREST,"오늘 레고 조립이나 그리기, 만들기 같은 거에 푹 빠져서 해봤어?",GATE,무엇을만들었는지;완성작품자랑/설명;만들면서어려웠던점,영상시청이나게임등다른실내놀이확인;야외활동질문,3,afternoon,2,c006d28b-e468-8e3b-a2a7-2dcda51e3d44,LOW,주말 긴 자유시간에 몰입하는 초3~4 창작/만들기 취미 활동 질문,NEW_QUESTION
초3~4,sat,FAMILY_RELATIONSHIP,RAPPORT_INTEREST,오늘 집에서 가족이랑 보드게임 하거나 같이 영화 본 거 있어?,GATE,어떤게임/영화인지;누가이겼는지/인상깊은장면;가족들반응,각자편안하게보낸시간확인;혼자즐긴놀이이야기,3,evening,2,8589078c-90e0-b520-9c66-c64136eb6c8a,LOW,토요일 저녁 가족과의 친밀한 실내 오락/여가 공유 경험 질문,NEW_QUESTION
초3~4,sat,HOBBY_AND_CREATION,RAPPORT_INTEREST,오늘 집에서 혼자 조용히 만화책이나 재미있는 책 읽으며 시간 보낸 거 있어?,GATE,어떤책인지;가장흥미진진했던부분;주인공이야기,활동적인놀이나영상시청확인;오늘기분점검,3,afternoon,2,,LOW,주말 조용한 1인 독서/휴식 시간을 보내는 아이의 취향 존중 질문,NEW_QUESTION
초3~4,sat,DAILY_HIGHLIGHT,WEEKEND_HIGHLIGHT,오늘 하루 중에 진짜 신났다고 느낀 순간이 있었어?,GATE,어떤순간이었는지;왜그렇게신났는지;함께한사람,조용하고차분했던시간확인;편안했던순간질문,2,evening,2,0931af3d-4cc2-41ea-a080-254fe7645d7e,LOW,토요일 하루의 가장 신났던 감정과 하이라이트를 회상하는 긍정 정서 질문,NEW_QUESTION
초3~4,sat,DAILY_LIFE,MOOD_TODAY,오늘 토요일 하루를 한마디나 세 글자로 표현하면 뭐야?,OPEN,,,3,evening,2,2956ef35-c685-324e-e51a-00fd848d9514,LOW,토요일 하루 전체의 감정과 활동을 재치 있게 요약해보는 열린 질문,NEW_QUESTION
초3~4,sat,FAMILY_RELATIONSHIP,ACHIEVEMENT,오늘 가족 심부름을 돕거나 집안일을 스스로 도와드린 일이 있어?,GATE,어떤일을도왔는지;가족들의반응;스스로뿌듯했던점칭찬,주말동안편안하게쉬었던점공감;오늘즐거웠던일질문,3,evening,2,276afcda-167e-0f0a-e32e-95e92d03c975,LOW,토요일 가정 내 자율적 기여와 가족 연대감을 확인하는 Gate 질문,NEW_QUESTION
초3~4,sat,MEAL_AND_TASTE,FOOD_TODAY,오늘 먹은 것 중에 제일 맛있었던 건 뭐야?,OPEN,,,2,evening,1,28c6161d-ecc2-a57b-456a-ac63cf1c49aa,LOW,토요일 맛있는 식사/간식 라포 형성용으로 weekday_affinity에 sat 추가 필요,REUSE_EXISTING
초3~4,sat,FAMILY_RELATIONSHIP,WEEKEND_HIGHLIGHT,이번 주 가족과 함께한 시간 중 제일 좋았던 순간은 언제였어?,OPEN,,,3,evening,2,295614cc-90fe-9aac-ab85-5500a4d0a876,LOW,토요일 가족 중심 회고 질문으로 기존 승인 자산 유지,REUSE_EXISTING
초3~4,sat,FAMILY_RELATIONSHIP,RAPPORT_INTEREST,오늘 가족에게 이야기하고 싶은 일이 있어?,GATE,어떤이야기인지;가족에게전하고싶은마음;이야기나눈소감,오늘나만의비밀이나혼자생각한즐거운일확인,3,evening,2,62ad69e8-1c69-dda0-d8f2-459dda21dad9,LOW,토요일 가족 대화 촉진용 질문으로 기존 승인 자산 유지,REUSE_EXISTING
초3~4,sat,HOBBY_AND_CREATION,RAPPORT_INTEREST,요즘 그리고 싶거나 만들고 싶은 게 있어?,GATE,어떤그림/만들기인지;필요한재료;구상한계획듣기,요즘관심있는다른놀이나활동질문,3,afternoon,2,c006d28b-e468-8e3b-a2a7-2dcda51e3d44,LOW,주말 창작 및 취미 욕구 파악용 질문으로 기존 승인 자산 유지,REUSE_EXISTING
초3~4,sat,HOBBY_AND_CREATION,RAPPORT_INTEREST,최근에 자주 듣는 노래나 좋아하는 소리가 있어?,GATE,어떤노래/소리인지;좋아하는이유;듣고있으면드는기분,요즘보는영상이나좋아하는게임이야기,3,afternoon,2,824b51a7-18af-5028-d191-91fe3a50dc55,LOW,주말 음악/음향 취향 및 힐링 요소 확인 질문으로 기존 승인 자산 유지,REUSE_EXISTING
초3~4,sat,DIGITAL_CONTENT,GAME_TODAY,친구에게 추천하고 싶은 게임이나 영상이 있어?,GATE,어떤게임/영상인지;추천하는이유;친구랑같이하고싶은지,혼자즐기는취미확인;오늘해본재미있는활동질문,3,afternoon,2,731fee20-ff12-803c-b994-6283b11f2322,LOW,주말 디지털 콘텐츠 공유 및 추천 질문으로 weekday_affinity에 sat 추가 필요,REUSE_EXISTING
초3~4,sun,DAILY_HIGHLIGHT,WEEKEND_HIGHLIGHT,이번 주말(토·일) 통틀어서 제일 재미있었거나 신났던 순간이 언제야?,OPEN,,,3,evening,2,14884138-6c25-a395-cefc-215a71903bb5,LOW,일요일 저녁에 주말 이틀간의 핵심 즐거움을 종합 회고하는 하이라이트 질문,NEW_QUESTION
초3~4,sun,DAILY_LIFE,OUTING_TODAY,오늘 일요일에 가족이랑 산책 가거나 가까운 곳으로 드라이브 다녀왔어?,GATE,어디로다녀왔는지;바깥에서본것이나느낀점;가족과나눈대화,집에서보낸여유로운시간확인;실내에서즐긴놀이질문,3,afternoon,2,,LOW,일요일 가족 나들이 및 야외 산책 생활맥락을 확인하는 Gate 질문,NEW_QUESTION
초3~4,sun,DIGITAL_CONTENT,GAME_TODAY,주말 동안 하고 싶었던 게임이나 보고 싶었던 영상은 원 없이 다 즐겼어?,GATE,가장재미있었던게임/영상;달성한레벨이나기억남는장면;만족감공감,아쉬웠던점공감;다음주말에이어서할계획확인,3,afternoon,2,4fdbfa80-6b05-2a3a-da08-504156479955,LOW,주말 디지털 여가 몰입도와 만족감을 확인하고 다음 일정을 돕는 질문,NEW_QUESTION
초3~4,sun,LEARNING_AND_STUDY,SCHOOL_HIGHLIGHT,오늘 내일 학교 갈 가방 챙기거나 주말 숙제는 미리 다 끝내 뒀어?,GATE,미리준비해둔성실함칭찬;편안한마음으로일요일마무리격려,남은숙제/준비물부담공감;천천히챙기도록가벼운격려,3,evening,1,a435f6b6-d7c7-fc3e-6aee-752321842656,LOW,일요일 저녁 등교 준비 및 주말 과제 완료 여부를 확인하는 루틴 질문,NEW_QUESTION
초3~4,sun,EMOTIONAL_EXPERIENCE,SCHOOL_HIGHLIGHT,"내일 월요일에 학교 갈 생각 하니까 기분이 어때? 조금 설레, 아니면 더 쉬고 싶어?",GATE,친구만날기대감공감;내일기대되는수업이나시간확인,주말끝나는아쉬움공감;오늘밤푹쉬고에너지충전응원,2,evening,2,6acb84e0-1e43-74c9-c2c1-2e9b69b7759b,LOW,일요일 밤 월요병 및 등교 전 정서를 이분법 없이 부드럽게 수용하는 Gate 질문,NEW_QUESTION
초3~4,sun,MEAL_AND_TASTE,FOOD_TODAY,오늘 일요일 저녁은 가족들이랑 다 같이 모여서 맛있는 밥 먹었어?,GATE,어떤메뉴먹었는지;가족들과식사하며나눈이야기;맛있었던반찬,오늘가장맛있었던간식질문;편안한저녁시간이야기,2,evening,2,2f8d8c94-2b80-d63f-f3d4-8fe7db043265,LOW,일요일 저녁 가족 식사 및 따뜻한 식탁 대화 경험을 묻는 질문,NEW_QUESTION
초3~4,sun,PEER_CONNECTION,FRIEND_PLAY,주말 동안 친구한테 문자나 전화해서 재미있게 수다 떨었어?,GATE,어떤친구와무슨이야기나눴는지;공유한재미있는소식,내일학교에서만나서하고싶은이야기확인;가족시간공감,3,evening,2,098f6377-7be1-58a9-ef08-e71d44be44f9,LOW,주말 동안 비대면(메신저/통화)으로 이어진 또래 소통을 확인하는 질문,NEW_QUESTION
초3~4,sun,PHYSICAL_STATE,MOOD_TODAY,오늘 낮에 낮잠을 자거나 소파에서 뒹굴거리면서 에너지 충전했어?,GATE,푹쉬어서충전된기분공감;편안했던휴식시간나누기,오늘활발하게활동한이야기듣기;신났던순간확인,3,afternoon,2,2e51ecb9-1b18-208d-0f1b-7a59540c8a42,LOW,일요일 오후의 여유로운 실내 충전과 신체 이완을 묻는 질문,NEW_QUESTION
초3~4,sun,INTEREST_AND_PREFERENCE,RAPPORT_INTEREST,이번 주말 동안 새로 산 물건이나 선물 받은 게 있어?,GATE,어떤물건인지;마음에드는이유;어디에쓸계획인지,요즘제일아끼는물건이나보물이야기질문,3,evening,2,,LOW,주말 쇼핑이나 선물 획득 등 초3~4 아이들의 물질적/취향 관심사 공유 질문,NEW_QUESTION
초3~4,sun,DAILY_LIFE,WEEKEND_EXPECTATION,다음 주에 학교나 학원에서 특별히 기다려지는 날이나 재미있는 활동이 있어?,GATE,어떤수업/활동/행사인지;기대하는이유;준비하고있는것,평온하고무탈한한주응원;내일친구와의만남기대,3,evening,2,d9d362b2-1b84-2b8a-0f2e-136a8d110e61,LOW,일요일 저녁 다음 주를 긍정적으로 조망하고 기대감을 품게 돕는 질문,NEW_QUESTION
초3~4,sun,ACHIEVEMENT,ACHIEVEMENT,이번 주말에 스스로 해보고 싶었던 계획이나 목표를 잘 해냈어?,GATE,해낸목표칭찬;스스로느낀뿌듯함;어떻게해냈는지과정듣기,편하게쉰자체로좋은주말이었음격려;다음주말계획응원,3,evening,2,31036b3d-5c6b-e9be-5747-31f3853ff597,LOW,주말 자기주도적 활동 및 목표 성취감을 되짚어보는 질문,NEW_QUESTION
초3~4,sun,PHYSICAL_STATE,MOOD_TODAY,일요일 밤인데 잠들기 전에 듣고 싶은 음악이나 생각나는 편안한 소리가 있어?,GATE,어떤음악/소리인지;차분하고편안한수면유도;따뜻한밤인사,푹자고좋은꿈꾸도록포근한밤인사전달,3,evening,1,824b51a7-18af-5028-d191-91fe3a50dc55,LOW,일요일 취침 전 심리적 안정과 숙면을 돕는 정서 완충 질문,NEW_QUESTION
초3~4,sun,EMOTIONAL_EXPERIENCE,MOOD_TODAY,일요일 밤이 되니까 주말이 끝나서 아쉬운 마음이 조금 들어?,GATE,주말끝나는아쉬움충분히공감;이번주말즐거웠던기억회상;다음주말응원,담담하게새로운한주맞이하는의젓함칭찬;내일하루응원,2,evening,2,60d5de8f-b4e0-2c8a-dfc5-b310f7bceb89,LOW,주말 끝자락의 솔직한 아쉬움을 편안하게 털어놓고 공감받는 정서 케어 질문,NEW_QUESTION
초3~4,sun,EMOTIONAL_EXPERIENCE,WEEKEND_HIGHLIGHT,이번 주 통틀어 제일 좋았던 일은 뭐야?,OPEN,,,3,evening,2,14884138-6c25-a395-cefc-215a71903bb5,LOW,일요일 주간 긍정 정서 총결산용으로 기존 승인 자산 유지,REUSE_EXISTING
초3~4,sun,DAILY_LIFE,WEEKEND_EXPECTATION,다음 주에 제일 기대되는 건 뭐야?,OPEN,,,3,evening,2,006380c7-b7fd-3271-15d9-0937e569b19b,LOW,일요일 다음 주 목표 및 기대 형성용으로 기존 승인 자산 유지,REUSE_EXISTING
초3~4,sun,MOOD_CHECK,MOOD_TODAY,"이번 주 마음 날씨는 맑음, 구름, 비, 천둥 중 뭐가 제일 많았어?",OPEN,,,3,evening,2,318abdea-a557-7612-e4e9-b73c8863ac50,LOW,일요일 주간 감정 날씨 회고용으로 기존 승인 자산 유지,REUSE_EXISTING
초3~4,sun,PHYSICAL_STATE,WEEKEND_HIGHLIGHT,이번 주에는 언제 가장 신나게 움직였어?,OPEN,,,3,afternoon,2,aa667e52-9ab0-c0e4-75f0-ff2e2f7dd0e1,LOW,일요일 주간 신체활동 회고용으로 기존 승인 자산 유지,REUSE_EXISTING
초3~4,sun,EMOTIONAL_EXPERIENCE,MOOD_TODAY,다음 주의 너에게 응원해주고 싶은 말이 있어?,OPEN,,,3,evening,2,b50491f0-4dd3-9e61-af7a-33299b9f2178,LOW,일요일 자기 격려 및 회복탄력성 강화용으로 기존 승인 자산 유지,REUSE_EXISTING
초3~4,sun,EMOTIONAL_EXPERIENCE,SCHOOL_HIGHLIGHT,내일 기대되는 일이 있어?,GATE,어떤일이기대되는지;내일일정공감;기분좋은잠자리응원,평온한하루응원;오늘밤푹쉬기권유,2,evening,1,1cda5ddf-a5f0-b1cd-cd2f-b9b91433a069,LOW,일요일 등교 전날 긍정 기대감 확인용으로 기존 승인 자산 유지,REUSE_EXISTING
초3~4,thu,PHYSICAL_STATE,PHYSICAL_FATIGUE,"이번 주도 거의 다 지나갔는데, 오늘 몸이 좀 무겁거나 지치진 않았어?",GATE,힘들었던순간공감;푹쉬는방법제안;따뜻한격려,활기찬에너지칭찬;오늘재미있던활동질문,2,afternoon,2,,LOW,목요일 주 후반 피로감과 에너지 상태를 공감하고 회복을 돕는 질문,NEW_QUESTION
초3~4,thu,DAILY_LIFE,WEEKEND_EXPECTATION,"내일이면 드디어 금요일인데, 이번 주말에 꼭 하고 싶은 일이나 기대되는 게 있어?",GATE,주말기대활동확인;누구와함께하는지;기대이유공감,집에서편하게쉬기;가벼운놀이추천,3,evening,2,,LOW,목요일에 주말을 미리 기대하며 긍정적인 기대감을 형성하는 질문,NEW_QUESTION
초3~4,thu,DAILY_LIFE,AFTER_SCHOOL_ACTIVITY,내일 학교 끝나고 나서 제일 먼저 하고 싶은 게 있어?,GATE,하고싶은일구체화;친구약속여부;기분공감,집에서편안한시간보내기;좋아하는간식먹기,3,evening,1,1a003f54-c393-88a4-f6f0-fd8981b3a82c,LOW,목요일 저녁에 금요일 하교 후 계획을 상상하며 기대감을 높이는 질문,NEW_QUESTION
초3~4,thu,SCHOOL_EXPERIENCE,CLASSROOM_EXPERIENCE,오늘 학교에서 모둠 활동이나 짝꿍이랑 같이 해결한 과제가 있었어?,GATE,모둠과제내용;친구와의역할분담;해낸기분확인,혼자집중했던수업확인;개인활동감상,3,afternoon,2,,LOW,초3~4 학년의 대표적 협력 학습(모둠/짝꿍 활동) 맥락 질문,NEW_QUESTION
초3~4,thu,SCHOOL_EXPERIENCE,SCHOOL_HIGHLIGHT,오늘 학교 체육 시간이나 쉬는 시간에 땀 흘리며 신나게 뛰어놀았어?,GATE,어떤놀이나운동했는지;누구랑뛰었는지;기분확인,실내에서조용히보낸활동;그림그리기나보드게임확인,2,afternoon,2,6ab000ec-5ce6-8a6f-9807-9bd300fd7c93,LOW,초3~4 학년의 학교 신체활동 및 체육/놀이 경험을 구체적으로 확인하는 질문,NEW_QUESTION
초3~4,thu,MEAL_AND_TASTE,FOOD_TODAY,오늘 학교 급식이나 방과후 간식 중에 특별히 마음에 들었던 메뉴가 있어?,GATE,맛있었던메뉴이름;친구들반응;좋아하는이유,오늘저녁메뉴확인;좋아하는음식이야기,3,afternoon,1,28c6161d-ecc2-a57b-456a-ac63cf1c49aa,LOW,학교 급식/간식이라는 일상적 학교 맥락을 Gate형으로 묻는 질문,NEW_QUESTION
초3~4,thu,DAILY_LIFE,ACADEMY_TODAY,오늘 학원이나 방과후 수업 가기 전에 친구랑 잠깐이라도 이야기 나누거나 간식 먹었어?,GATE,어떤간식먹었는지;친구와무슨이야기했는지;즐거웠던순간,곧바로학원이동했는지;혼자시간보냈는지,3,afternoon,2,,LOW,하교 후 학원 이동 사이 초등 중학년의 일상 틈새 생활맥락 질문,NEW_QUESTION
초3~4,thu,DAILY_HIGHLIGHT,WEEKLY_FUN_MOMENT,이번 주 동안 학교나 집에서 가장 웃겼거나 재미있었던 순간이 떠오르는 게 있어?,GATE,웃겼던상황이야기;친구들반응;어떤점이재밌었는지,평온했던순간확인;오늘기분점검,3,evening,2,167c19f1-1bb2-7326-6c5a-d81579ee181a,LOW,목요일 시점에서 한 주의 재미있던 해프닝을 회상하는 긍정 정서 질문,NEW_QUESTION
초3~4,thu,SCHOOL_EXPERIENCE,SCHOOL_HIGHLIGHT,오늘 쉬는 시간에는 주로 뭐 했어?,OPEN,,,3,afternoon,2,670a455e-8668-4835-c3b1-c38f8688a5be,LOW,목요일 학교 일상(쉬는 시간 활동) 대화용으로 weekday_affinity에 thu 추가 필요,REUSE_EXISTING
초3~4,thu,SCHOOL_EXPERIENCE,ACADEMY_TODAY,오늘 학원이나 방과후 활동에서 제일 기억나는 건 뭐야?,OPEN,,,3,evening,2,18790aeb-d904-57df-f6eb-e828be15fe30,LOW,목요일 방과후/학원 루틴 질문으로 weekday_affinity에 thu 추가 필요,REUSE_EXISTING
초3~4,thu,TEACHER_RELATIONSHIP,CLASSROOM_EXPERIENCE,오늘 선생님이 한 말 중에 기억나는 게 있어?,GATE,어떤말씀이었는지;선생님말씀들은느낌;수업관련내용,오늘친구들과나눈이야기;기억나는수업내용,3,afternoon,1,562842ba-cae6-fcb3-4dd8-151c7870eb89,LOW,목요일 학교 수업 및 선생님과의 소통 확인용으로 weekday_affinity에 thu 추가 필요,REUSE_EXISTING
초3~4,thu,PEER_CONNECTION,FRIEND_PLAY,오늘 친구랑 같이 해서 재미있었던 일이 있었어?,GATE,함께한놀이종류;어떤친구와함께했는지;즐거웠던이유,혼자보낸즐거운시간;내일친구와하고싶은것,3,afternoon,2,098f6377-7be1-58a9-ef08-e71d44be44f9,LOW,목요일 또래 교우관계 및 놀이 확인용으로 weekday_affinity에 thu 추가 필요,REUSE_EXISTING
초3~4,thu,PEER_CONNECTION,FRIEND_PLAY,오늘 새롭게 이야기해 본 친구가 있었어?,GATE,어떤친구였는지;무슨이야기나눴는지;친해진기분,자주놀던친구와의시간;내일이야기해보고싶은친구,3,afternoon,2,3cdb375e-146e-72d1-322d-8a28fc22e4cf,LOW,주 후반 새로운 친구 소통 확장 확인용으로 weekday_affinity에 thu 추가 필요,REUSE_EXISTING
초3~4,thu,PHYSICAL_STATE,MOOD_TODAY,"오늘 몸은 괜찮았어, 조금 피곤했어?",GATE,피곤한이유듣기;편안한휴식응원;수면안내,가벼운몸상태칭찬;활기찬저녁시간이야기,1,evening,2,036d4863-dbb9-9878-3e5d-cc220c9bd7a2,LOW,목요일 주 후반 신체 피로도 점검에 최적이므로 weekday_affinity에 thu 추가 필요,REUSE_EXISTING
초3~4,thu,PHYSICAL_STATE,MOOD_TODAY,오늘 쉬고 싶다고 느낀 때가 있었어?,GATE,휴식이필요했던순간공감;지금원하는휴식방법,에너지넘쳤던순간공유;즐거웠던활동질문,1,evening,2,2e51ecb9-1b18-208d-0f1b-7a59540c8a42,LOW,목요일 피로 및 휴식 욕구 파악용으로 weekday_affinity에 thu 추가 필요,REUSE_EXISTING
초3~4,thu,LEARNING_AND_STUDY,SCHOOL_HIGHLIGHT,오늘 수업 중에 조금 어려웠던 게 있었어? 없으면 넘어가도 돼.,GATE,어떤과목어떤부분인지;어려웠던점경청및격려,자신있게잘따라간점칭찬;수업중재밌었던부분질문,3,afternoon,1,bef63cf7-8c1a-9cd5-4d52-e39384fed5de,LOW,목요일 주요 교과 학습 부담감 확인용으로 weekday_affinity에 thu 추가 필요,REUSE_EXISTING
초3~4,thu,LEARNING_AND_STUDY,SCHOOL_HIGHLIGHT,오늘 숙제나 준비물 때문에 기억나는 일이 있었어?,GATE,어떤숙제/준비물이었는지;해결과정확인,준비잘한점칭찬;수업시간에즐거웠던일질문,3,afternoon,1,a435f6b6-d7c7-fc3e-6aee-752321842656,LOW,목요일 과제 및 학교 준비 상태 점검용으로 weekday_affinity에 thu 추가 필요,REUSE_EXISTING
초3~4,thu,MEAL_AND_TASTE,FOOD_TODAY,오늘 먹은 것 중에 제일 맛있었던 건 뭐야?,OPEN,,,2,evening,1,28c6161d-ecc2-a57b-456a-ac63cf1c49aa,LOW,목요일 점심 급식/간식 라포 형성용으로 weekday_affinity에 thu 추가 필요,REUSE_EXISTING
초3~4,fri,EMOTIONAL_EXPERIENCE,WEEKEND_EXPECTATION,오늘 학교 끝났을 때 '드디어 주말이다!' 하고 신나는 기분이 들었어?,GATE,해방감공감;주말에제일하고싶은것;신나는기분나누기,이번주아쉬웠던점확인;평온한마음점검,3,afternoon,2,,LOW,금요일 하교 시의 해방감과 주말 시작 정서를 확인하는 질문,NEW_QUESTION
초3~4,fri,PEER_CONNECTION,FRIEND_PLAY,오늘 학교 끝나고 친구들이랑 밖에서 놀거나 떡볶이 같은 맛있는 간식 사 먹었어?,GATE,어떤간식먹었는지;친구와어디서놀았는지;즐거웠던순간,집에곧바로왔는지;가족과의저녁계획확인,3,afternoon,2,,LOW,금요일 방과후 친구와의 놀이/간식 생활맥락 질문,NEW_QUESTION
초3~4,fri,DAILY_LIFE,OUTING_TODAY,이번 주말에 가족이나 친구랑 나들이 가거나 외출하는 계획이 있어?,GATE,어디로가는지;누구와함께가는지;기대되는점,집에서보내는휴식계획;좋아하는취미활동확인,3,evening,2,,LOW,금요일 주말 외출/나들이 계획을 확인하는 생활맥락 질문,NEW_QUESTION
초3~4,fri,DIGITAL_CONTENT,GAME_TODAY,이번 주말에 마음껏 해보고 싶은 게임이나 보고 싶었던 영상이 있어?,GATE,어떤게임이나영상인지;기대하는이유;누구와함께하는지,만들기나운동등다른취미확인;편하게쉬는계획,3,evening,2,4fdbfa80-6b05-2a3a-da08-504156479955,LOW,금요일 저녁 아이들이 가장 기대하는 주말 디지털 여가 계획 질문,NEW_QUESTION
초3~4,fri,PHYSICAL_STATE,WEEKEND_EXPECTATION,내일 토요일 아침에 늦잠 자거나 이불 속에서 뒹굴거릴 계획이야?,GATE,주말휴식공감;몇시까지푹잘것인지;여유로운아침기대,아침일찍활동계획확인;주말오전일정확인,3,evening,2,,LOW,금요일 저녁 주말 아침의 여유와 휴식에 대한 초등학생의 기대감 공감 질문,NEW_QUESTION
초3~4,fri,MEAL_AND_TASTE,FOOD_TODAY,오늘 금요일 저녁으로 가족들이랑 맛있는 걸 먹거나 외식하기로 했어?,GATE,어떤특별한메뉴인지;가장좋아하는음식;저녁시간기분,집밥메뉴확인;오늘가장맛있었던간식질문,3,evening,2,,LOW,금요일 저녁 가족 식사 및 특별 메뉴에 대한 일상 소통 질문,NEW_QUESTION
초3~4,fri,DAILY_HIGHLIGHT,WEEKLY_FUN_MOMENT,이번 주에 학교나 학원에서 친구들이랑 배꼽 잡고 웃었던 재미있는 일 있었어?,GATE,어떤상황이었는지;친구들반응;다시생각해도웃긴이유,조용하고기분좋았던순간;이번주소소한기쁨확인,3,evening,2,,LOW,금요일에 한 주간의 유머러스하고 재미있는 에피소드를 나누는 질문,NEW_QUESTION
초3~4,fri,HOBBY_AND_CREATION,RAPPORT_INTEREST,"이번 주말에 레고나 만들기, 그림 그리기처럼 뭔가 푹 빠져서 만들고 싶은 게 있어?",GATE,무엇을만들계획인지;재료나주제;완성후기대감,운동이나책읽기등다른취미확인;자유로운놀이,3,evening,2,,LOW,초3~4 창작/취미 활동에 대한 주말 계획 질문,NEW_QUESTION
초3~4,fri,ACHIEVEMENT,ACHIEVEMENT,이번 주에 세웠던 목표나 꼭 하고 싶었던 일 중에 멋지게 성공한 게 있어?,GATE,어떤목표를해냈는지;노력한과정칭찬;스스로느낀뿌듯함,노력한자체격려;다음주에도전하고싶은일,3,evening,2,bc945171-8b17-b66c-7b7b-c200ab1a9722,LOW,금요일 주간 성취를 주도적 목표 달성 관점에서 칭찬하는 Gate 질문,NEW_QUESTION
초3~4,fri,PEER_CONNECTION,FRIEND_PLAY,이번 주말에 친구를 집에 초대하거나 친구 집에 놀러 가기로 약속한 거 있어?,GATE,어떤친구와만나는지;무슨놀이할계획인지;기대되는점,가족과의시간이나혼자놀이확인;자유시간계획,3,evening,2,,LOW,초3~4 주말 친구 방문/플레이데이트 계획 확인 질문,NEW_QUESTION
초3~4,fri,ACHIEVEMENT,ACHIEVEMENT,이번 주 월요일부터 오늘까지 열심히 보낸 스스로에게 점수를 준다면 100점 만점에 몇 점 주고 싶어?,OPEN,,,3,evening,2,,LOW,금요일 한 주 전체를 스스로 평가하며 자기효능감을 느끼게 하는 열린 회고 질문,NEW_QUESTION
초3~4,fri,ACHIEVEMENT,ACHIEVEMENT,이번 주에 네가 가장 잘했다고 느낀 일은 뭐야?,OPEN,,,3,evening,2,2ca1c78b-7004-2d9a-2a81-155f0de210c6,LOW,금요일 주간 성취 회고용 대표 질문으로 기존 유지,REUSE_EXISTING
초3~4,fri,ACHIEVEMENT,ACHIEVEMENT,오늘 스스로에게 잘했다고 말해주고 싶은 건 뭐야?,OPEN,,,3,evening,2,2494611a-1ff1-b345-c4d6-9a8445c60fe3,LOW,금요일 한 주 마무리 자기격려 질문으로 기존 유지,REUSE_EXISTING
초3~4,fri,PEER_CONNECTION,FRIEND_PLAY,이번 주 친구와 있었던 일 중 마음에 남는 게 있어?,GATE,어떤친구와무슨일이있었는지;마음에남은이유;친구에게전하고싶은말,평온했던친구관계확인;주말친구약속여부,3,afternoon,2,63ce573f-18c5-24fc-0049-0edd8e9ca0f5,LOW,금요일 주간 친구 관계 회고에 최적이므로 weekday_affinity에 fri 추가 필요,REUSE_EXISTING
초3~4,fri,DIGITAL_CONTENT,GAME_TODAY,이번 주에 새로 재미있게 본 영상이나 게임이 있어?,GATE,어떤영상/게임인지;재미있었던장면;추천하고싶은이유,기존에좋아하던게임이야기;다른취미활동확인,3,evening,2,4fdbfa80-6b05-2a3a-da08-504156479955,LOW,금요일 주말 디지털 콘텐츠 계획/관심사 파악용으로 weekday_affinity에 fri 추가 필요,REUSE_EXISTING
